FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2022,Remaining,JUN,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Land,Travelers,Passenger Vehicles,136466
2025 (FYTD),FYTD,DEC,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Air,Travelers,Air,140
2023,Remaining,JUL,Northern Border,BOSTON,VT,"BURLINGTON, VT (0207)",Air,Conveyances,Air,118
2024,Remaining,MAR,Preclearance,PRECLEARANCE,DC,USCBP OTTAWA PRECLEAR (7929),Air,Travelers,Air,40822
2024,Remaining,JUN,Southern Border,TUCSON,AZ,SCOTTSDALE USER FEE ARPT (2681),Air,Travelers,Air,468
2023,FYTD,NOV,Northern Border,SEATTLE,ID,"PORTHILL, ID (3308)",Land,Travelers,Passenger Vehicles,6208
2022,Remaining,SEP,Preclearance,PRECLEARANCE,DC,USCBP TORONTO PRECLEAR (7926),Air,Conveyances,Air,5727
2025 (FYTD),FYTD,NOV,Northern Border,BOSTON,ME,"PORTLAND, ME (0101)",Air,Travelers,Air,124
2024,Remaining,JUL,Southern Border,EL PASO,NM,SANTA TERESA (2408),Land,Conveyances,Passenger Vehicles,60956
2024,Remaining,JAN,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Land,Conveyances,Trucks,37425
2022,FYTD,NOV,Northern Border,DETROIT,MI,"ALGONAC, MI (3814)",Land,Conveyances,Passenger Vehicles,99
2024,Remaining,JUN,Northern Border,BOSTON,MA,"NEW BEDFORD, MA (0405)",Air,Conveyances,Air,21
2024,Remaining,JUN,Coastal/Interior,CHICAGO,MO,"KANSAS CITY, MO (4501)",Air,Conveyances,Air,124
2022,Remaining,JUN,Coastal/Interior,TAMPA,FL,"ORLANDO, FL (1808)",Air,Travelers,Air,197875
2022,FYTD,OCT,Northern Border,BOSTON,MA,"GLOUCESTER, MA (0404)",Air,Travelers,Air,20
2023,FYTD,DEC,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Air,Conveyances,Air,8
2023,Remaining,AUG,Southern Border,SAN DIEGO,CA,"TECATE, CA (2505)",Land,Travelers,Trucks,6321
2023,Remaining,MAY,Coastal/Interior,HOUSTON,OK,"TULSA, OK (5505)",Air,Conveyances,Air,10
2023,Remaining,SEP,Northern Border,BUFFALO,NY,"MASSENA, NY (0704)",Air,Travelers,Air,6
2022,Remaining,FEB,Northern Border,BOSTON,VT,"DERBY LINE, VT (0209)",Land,Conveyances,Passenger Vehicles,6010
2024,Remaining,MAY,Southern Border,LAREDO,TX,"LAREDO, TX (2304)",Land,Travelers,Passenger Vehicles,823558
2023,Remaining,MAY,Northern Border,SEATTLE,MT,"SCOBEY, MT (3309)",Land,Travelers,Trucks,17
2023,Remaining,AUG,Southern Border,TUCSON,AZ,"LUKEVILLE, AZ (2602)",Land,Travelers,Trucks,98
2023,FYTD,NOV,Coastal/Interior,NEW ORLEANS,TN,PORT OF TRI-CITIES (2027),Air,Conveyances,Air,4
2022,Remaining,AUG,Northern Border,SEATTLE,ND,"MAIDA, ND (3416)",Land,Travelers,Passenger Vehicles,537
2023,Remaining,MAY,Coastal/Interior,SAN JUAN,PR,"FAJARDO, PR (4904)",Air,Conveyances,Air,21
2023,Remaining,JUN,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Air,Travelers,Air,83
2023,FYTD,NOV,Northern Border,SEATTLE,ND,"DUNSEITH, ND (3422)",Land,Travelers,Passenger Vehicles,5056
2023,FYTD,NOV,Coastal/Interior,TAMPA,FL,NOT ACTIVE (1881),Air,Travelers,Air,57
2023,Remaining,MAY,Northern Border,BOSTON,VT,"RICHFORD, VT (0203)",Land,Conveyances,Passenger Vehicles,5695
2023,Remaining,AUG,Northern Border,SEATTLE,ND,"MAIDA, ND (3416)",Land,Travelers,Pedestrians,6
2022,Remaining,AUG,Coastal/Interior,TAMPA,FL,MELBOURNE REG AIRPORT (1885),Air,Travelers,Air,21681
2022,Remaining,MAR,Northern Border,SEATTLE,ID,"EASTPORT, ID (3302)",Land,Travelers,Passenger Vehicles,4565
2024,Remaining,JUN,Coastal/Interior,SAN FRANCISCO,CA,"OAKLAND, CA (2811)",Air,Travelers,Air,23572
2024,Remaining,MAR,Coastal/Interior,HOUSTON,TX,FORT WORTH ALLIANCE  AP (5583),Air,Travelers,Air,251
2023,Remaining,MAY,Northern Border,BOSTON,ME,"VANCEBORO, ME (0105)",Land,Travelers,Trucks,53
2024,FYTD,NOV,Coastal/Interior,LOS ANGELES,CA,SAN BERNARDINO U.F. ARPT (2782),Air,Travelers,Air,112
2024,FYTD,NOV,Northern Border,SEATTLE,ND,"CARBURY, ND (3421)",Land,Conveyances,Trucks,18
2022,FYTD,OCT,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Land,Travelers,Pedestrians,9
2022,FYTD,OCT,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Land,Travelers,Passenger Vehicles,155059
2023,Remaining,JUN,Northern Border,BUFFALO,NY,CHAMPLAIN-ROUSES POINT (0712),Air,Travelers,Air,2
2024,Remaining,MAR,Northern Border,BOSTON,MA,HANSCOM USER FEE AIRPORT (0481),Air,Conveyances,Air,152
2025 (FYTD),FYTD,OCT,Coastal/Interior,ATLANTA,GA,SOUTH ATLANTIC CMC (1700),Air,Travelers,Air,43
2023,Remaining,JUL,Northern Border,BOSTON,VT,HIGHGATE SPRINGS/ALBURG (0212),Land,Travelers,Trucks,7508
2024,Remaining,MAR,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Conveyances,Trucks,157
2024,Remaining,AUG,Coastal/Interior,MIAMI,FL,"KEY WEST, FL (5202)",Air,Travelers,Air,65
2024,FYTD,OCT,Northern Border,PORTLAND,AK,"FAIRBANKS, AK (3111)",Air,Travelers,Air,89
2022,Remaining,JUN,Southern Border,TUCSON,AZ,"LUKEVILLE, AZ (2602)",Land,Travelers,Pedestrians,4395
2024,Remaining,APR,Southern Border,TUCSON,AZ,"SAN LUIS, AZ (2608)",Land,Travelers,Trucks,3939
2022,Remaining,JUL,Coastal/Interior,ATLANTA,GA,SOUTH ATLANTIC CMC (1700),Air,Travelers,Air,110
2025 (FYTD),FYTD,OCT,Preclearance,PRECLEARANCE,DC,USCBP CALGARY PRECLEAR (7923),Air,Conveyances,Air,1213
2023,FYTD,OCT,Coastal/Interior,MIAMI,FL,FT LAUDERDALE INTL AIRPT (5210),Air,Conveyances,Air,2971
2022,Remaining,APR,Coastal/Interior,CHICAGO,IL,"PEORIA, IL (3902)",Air,Conveyances,Air,11
2023,Remaining,JAN,Northern Border,BOSTON,MA,HANSCOM USER FEE AIRPORT (0481),Air,Conveyances,Air,145
2022,Remaining,JUL,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Land,Travelers,Trucks,20635
2022,Remaining,MAY,Coastal/Interior,MIAMI,FL,"KEY WEST, FL (5202)",Air,Travelers,Air,191
2024,Remaining,AUG,Northern Border,BOSTON,ME,"FORT FAIRFIELD, ME (0107)",Land,Conveyances,Trucks,605
2022,FYTD,NOV,Northern Border,SEATTLE,ID,"PORTHILL, ID (3308)",Land,Travelers,Pedestrians,25
2022,Remaining,APR,Preclearance,PRECLEARANCE,DC,USCBP OTTAWA PRECLEAR (7929),Air,Conveyances,Air,98
2022,Remaining,APR,Coastal/Interior,HOUSTON,TX,SUGAR LAND REGIONAL AIRP (5381),Air,Conveyances,Air,45
2024,Remaining,JAN,Coastal/Interior,CHICAGO,KY,BLUE GRASS AIRPORT (4184),Air,Travelers,Air,111
2023,Remaining,APR,Southern Border,EL PASO,TX,"TORNILLO,TX (2404)",Land,Conveyances,Passenger Vehicles,40141
2023,Remaining,AUG,Northern Border,SEATTLE,WA,"DANVILLE, WA (3012)",Land,Conveyances,Passenger Vehicles,2107
2022,Remaining,JAN,Northern Border,BOSTON,VT,HIGHGATE SPRINGS/ALBURG (0212),Land,Travelers,Passenger Vehicles,11174
2023,Remaining,JUL,Coastal/Interior,SAN FRANCISCO,CA,SAN JOSE INTL AIRPORT (2834),Air,Travelers,Air,39494
2024,Remaining,JUN,Northern Border,BOSTON,ME,"VANCEBORO, ME (0105)",Land,Travelers,Pedestrians,18
2023,Remaining,MAR,Coastal/Interior,CHICAGO,KY,BLUE GRASS AIRPORT (4184),Air,Travelers,Air,64
2024,FYTD,DEC,Coastal/Interior,ATLANTA,NC,"CHARLOTTE, NC (1512)",Air,Travelers,Air,163975
2023,FYTD,OCT,Northern Border,SEATTLE,WA,GRANT COUNTY AIRPORT (3082),Air,Conveyances,Air,8
2022,Remaining,JUL,Southern Border,EL PASO,TX,"PRESIDIO, TX (2403)",Land,Conveyances,Trucks,834
2023,Remaining,SEP,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Land,Travelers,Trucks,7508
2024,FYTD,NOV,Northern Border,SEATTLE,WA,METALINE FALLS (3025),Land,Conveyances,Trucks,295
2022,FYTD,NOV,Northern Border,SEATTLE,ND,"DUNSEITH, ND (3422)",Land,Travelers,Pedestrians,42
2022,Remaining,JAN,Southern Border,EL PASO,NM,SANTA TERESA (2408),Land,Travelers,Passenger Vehicles,116232
2023,Remaining,APR,Northern Border,SEATTLE,MN,"BAUDETTE, MN (3424)",Air,Travelers,Air,4
2025 (FYTD),FYTD,OCT,Coastal/Interior,CHICAGO,OH,"COLUMBUS, OH (4103)",Air,Travelers,Air,278
2023,Remaining,JAN,Coastal/Interior,HOUSTON,TX,FORT WORTH ALLIANCE  AP (5583),Air,Travelers,Air,96
2024,Remaining,JAN,Southern Border,EL PASO,TX,"PRESIDIO, TX (2403)",Land,Travelers,Trucks,991
2023,Remaining,APR,Northern Border,SEATTLE,MN,"WARROAD, MN (3423)",Land,Travelers,Passenger Vehicles,9531
2022,Remaining,AUG,Southern Border,LAREDO,TX,"LAREDO, TX (2304)",Land,Travelers,Passenger Vehicles,799149
2024,Remaining,AUG,Coastal/Interior,MIAMI,FL,"FORT PIERCE, FL (5205)",Land,Travelers,Pedestrians,2
2023,FYTD,OCT,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Land,Travelers,Passenger Vehicles,29674
2024,Remaining,JUN,Northern Border,SEATTLE,MT,"SCOBEY, MT (3309)",Land,Travelers,Pedestrians,10
2023,Remaining,JAN,Northern Border,PORTLAND,AK,"FAIRBANKS, AK (3111)",Air,Conveyances,Air,5
2023,Remaining,AUG,Northern Border,SEATTLE,WA,"LAURIER, WA (3016)",Land,Conveyances,Trucks,401
2023,Remaining,APR,Northern Border,SEATTLE,ND,"HANNAH, ND (3408)",Land,Travelers,Trucks,2
2023,Remaining,FEB,Southern Border,EL PASO,NM,SANTA TERESA (2408),Air,Conveyances,Air,26
2023,FYTD,OCT,Southern Border,EL PASO,TX,YSLETA (2401),Land,Travelers,Pedestrians,117883
2023,Remaining,JUN,Northern Border,PORTLAND,CO,EAGLE COUNTY REGNL AIRPT (3385),Air,Conveyances,Air,23
2023,Remaining,FEB,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Land,Conveyances,Trucks,97
2023,Remaining,MAY,Coastal/Interior,NEW ORLEANS,TN,"NASHVILLE, TN (2007)",Air,Travelers,Air,7868
2022,Remaining,MAY,Preclearance,PRECLEARANCE,DC,USCBP MONTREAL PRECLEAR (7925),Air,Conveyances,Air,2212
2022,Remaining,MAR,Coastal/Interior,CHICAGO,IL,WAUKEGAN AIRPORT (3981),Air,Travelers,Air,182
2023,FYTD,OCT,Coastal/Interior,CHICAGO,IA,DAVENPORT-ROCK ISLAND (3908),Air,Conveyances,Air,4
2022,Remaining,JUL,Coastal/Interior,SAN JUAN,PR,"SAN JUAN, PR (4909)",Land,Conveyances,Passenger Vehicles,529
2024,Remaining,SEP,Coastal/Interior,TAMPA,FL,"ST. PETERSBURG, FL (1814)",Air,Conveyances,Air,22
2024,Remaining,MAY,Northern Border,SEATTLE,ND,"NECHE, ND (3404)",Land,Travelers,Trucks,499
2022,FYTD,DEC,Northern Border,SEATTLE,WA,"SUMAS, WA (3009)",Land,Travelers,Pedestrians,867
2022,Remaining,JUN,Northern Border,SEATTLE,WA,"FERRY, WA (3013)",Land,Conveyances,Trucks,29
2022,FYTD,DEC,Coastal/Interior,HOUSTON,TX,"LUBBOCK, TX (5503)",Air,Conveyances,Air,1
2025 (FYTD),FYTD,NOV,Southern Border,EL PASO,TX,"PRESIDIO, TX (2403)",Air,Travelers,Air,10
2023,FYTD,OCT,Southern Border,SAN DIEGO,CA,SAN YSIDRO (2504),Land,Conveyances,Passenger Vehicles,1374004
2023,Remaining,JUL,Northern Border,SEATTLE,ND,"ST JOHN, ND (3405)",Land,Travelers,Trucks,92
2022,Remaining,JAN,Coastal/Interior,LOS ANGELES,CA,ONTARIO INTL AIRPORT (2721),Air,Travelers,Air,8782
2023,FYTD,NOV,Northern Border,SEATTLE,MT,"WILDHORSE, MT (3323)",Land,Conveyances,Passenger Vehicles,499
2022,FYTD,DEC,Coastal/Interior,CHICAGO,WI,"MILWAUKEE, WI (3701)",Air,Conveyances,Air,35
2022,FYTD,DEC,Northern Border,SEATTLE,WA,KENNETH G WARD POE (3023),Land,Travelers,Trucks,3564
2023,FYTD,OCT,Northern Border,SEATTLE,ND,"HANNAH, ND (3408)",Land,Conveyances,Trucks,1
2023,FYTD,DEC,Coastal/Interior,CHICAGO,MN,"MINNEAPOLIS-ST. PAUL, MN (3501)",Air,Conveyances,Air,573
2024,Remaining,JAN,Coastal/Interior,SAN JUAN,PR,"SAN JUAN, PR (4909)",Land,Travelers,Passenger Vehicles,696
2023,Remaining,AUG,Coastal/Interior,NEW YORK,NY,"NEW YORK, NY (1001)",Air,Travelers,Air,7929
2023,Remaining,FEB,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Travelers,Passenger Vehicles,1220
2022,Remaining,FEB,Northern Border,BOSTON,ME,"FORT KENT, ME (0110)",Land,Conveyances,Trucks,719
2022,FYTD,OCT,Coastal/Interior,HOUSTON,TX,COLLIN CNTY REGN'L APT (5585),Air,Travelers,Air,71
2023,Remaining,JAN,Northern Border,BUFFALO,NY,"ALBANY, NY (1002)",Air,Travelers,Air,47
2024,Remaining,MAY,Coastal/Interior,CHICAGO,MO,"SPRINGFIELD, MO (4505)",Air,Travelers,Air,42
2023,Remaining,MAR,Southern Border,SAN DIEGO,CA,"ANDRADE, CA (2502)",Land,Travelers,Pedestrians,85040
2023,Remaining,MAR,Northern Border,BOSTON,ME,"LIMESTONE, ME (0118)",Land,Travelers,Pedestrians,1
2024,Remaining,SEP,Coastal/Interior,TAMPA,FL,NOT ACTIVE (1881),Air,Travelers,Air,54
2022,Remaining,MAY,Southern Border,LAREDO,TX,"HIDALGO,TX (2305)",Land,Travelers,Passenger Vehicles,706900
2023,Remaining,JAN,Coastal/Interior,SAN FRANCISCO,CA,FRESNO YOSEMITE AIRPORT (2882),Air,Conveyances,Air,101
2025 (FYTD),FYTD,OCT,Coastal/Interior,HOUSTON,OK,"OKLAHOMA CITY, OK (5504)",Air,Conveyances,Air,7
2023,Remaining,AUG,Northern Border,BOSTON,ME,"JACKMAN, ME (0104)",Land,Conveyances,Trucks,3575
2023,Remaining,SEP,Northern Border,BUFFALO,NY,"UTICA, NY (0907)",Air,Travelers,Air,9
2024,Remaining,MAY,Coastal/Interior,SAN FRANCISCO,CA,FRESNO YOSEMITE AIRPORT (2882),Air,Conveyances,Air,101
2024,FYTD,OCT,Southern Border,TUCSON,AZ,"NACO, AZ (2603)",Land,Travelers,Trucks,250
2024,Remaining,MAY,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Land,Conveyances,Trucks,4307
2022,FYTD,NOV,Northern Border,BOSTON,ME,"FORT FAIRFIELD, ME (0107)",Air,Conveyances,Air,3
2022,FYTD,NOV,Southern Border,TUCSON,AZ,"DOUGLAS, AZ (2601)",Land,Conveyances,Trucks,2384
2024,Remaining,JUL,Coastal/Interior,NEW ORLEANS,TN,PORT OF TRI-CITIES (2027),Air,Travelers,Air,36
2022,FYTD,OCT,Preclearance,PRECLEARANCE,DC,USCBP TORONTO PRECLEAR (7926),Air,Travelers,Air,224163
2024,Remaining,APR,Northern Border,SEATTLE,MT,"ROOSVILLE, MT (3318)",Land,Travelers,Pedestrians,265
2023,FYTD,DEC,Southern Border,EL PASO,TX,"EL PASO, TX (2402)",Land,Travelers,Trucks,7397
2024,FYTD,NOV,Northern Border,BOSTON,VT,"BURLINGTON, VT (0207)",Air,Conveyances,Air,75
2023,Remaining,JUL,Northern Border,SEATTLE,ND,"HANSBORO, ND (3415)",Land,Travelers,Pedestrians,23
2023,FYTD,NOV,Northern Border,SEATTLE,WA,"PORT ANGELES, WA (3007)",Air,Conveyances,Air,9
2024,Remaining,AUG,Southern Border,LAREDO,TX,"HIDALGO,TX (2305)",Land,Travelers,Passenger Vehicles,864946
2022,Remaining,AUG,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Land,Conveyances,Trucks,3761
2022,FYTD,DEC,Coastal/Interior,LOS ANGELES,CA,"UPS - (ONTARIO, CA) (2795)",Air,Conveyances,Air,23
2025 (FYTD),FYTD,NOV,Northern Border,SEATTLE,WA,"FRONTIER, WA (3020)",Land,Conveyances,Trucks,2110
2022,Remaining,JUN,Northern Border,BOSTON,NH,"PORTSMOUTH, NH (0131)",Air,Travelers,Air,398
2022,Remaining,SEP,Northern Border,SEATTLE,ND,"WESTHOPE, ND (3419)",Land,Travelers,Trucks,70
2024,Remaining,JAN,Southern Border,SAN DIEGO,CA,"ANDRADE, CA (2502)",Land,Travelers,Pedestrians,75334
2022,Remaining,APR,Coastal/Interior,NEW ORLEANS,AL,"BIRMINGHAM, AL (1904)",Air,Conveyances,Air,31
2023,Remaining,JUN,Northern Border,BUFFALO,NY,"ALEXANDRIA BAY, NY (0708)",Land,Conveyances,Passenger Vehicles,46525
2022,Remaining,APR,Northern Border,SEATTLE,WA,"BOUNDARY, WA (3015)",Land,Conveyances,Trucks,12
2023,FYTD,NOV,Northern Border,PORTLAND,CO,"DENVER, CO (3307)",Air,Conveyances,Air,604
2022,FYTD,DEC,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Air,Conveyances,Air,7
2024,Remaining,FEB,Coastal/Interior,CHICAGO,IN,"INDIANAPOLIS, IN (4110)",Air,Conveyances,Air,172
2023,Remaining,JAN,Northern Border,SEATTLE,WA,"OROVILLE, WA (3019)",Land,Conveyances,Trucks,1893
2023,FYTD,DEC,Coastal/Interior,BALTIMORE,VA,"NORFOLK, VA (1401)",Air,Conveyances,Air,61
2023,Remaining,JUN,Coastal/Interior,TAMPA,FL,DAYTONA BEACH INT'L AIRP (1884),Air,Travelers,Air,116
2022,FYTD,OCT,Southern Border,SAN DIEGO,CA,"CALEXICO, CA (2503)",Air,Travelers,Air,340
2022,FYTD,DEC,Coastal/Interior,HOUSTON,TX,FORT WORTH ALLIANCE  AP (5583),Air,Travelers,Air,134
2024,Remaining,JUN,Coastal/Interior,NEW ORLEANS,AR,"LITTLE ROCK, AR (2003)",Air,Travelers,Air,29
2023,FYTD,NOV,Northern Border,SEATTLE,ND,"NORTHGATE, ND (3406)",Land,Travelers,Trucks,248
2022,FYTD,NOV,Southern Border,LAREDO,TX,"ROMA, TX (2310)",Land,Conveyances,Trucks,3021
2024,Remaining,AUG,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Air,Conveyances,Air,41
2025 (FYTD),FYTD,DEC,Southern Border,LAREDO,TX,"HIDALGO,TX (2305)",Land,Travelers,Passenger Vehicles,914269
2024,Remaining,JUN,Southern Border,LAREDO,TX,"LAREDO, TX (2304)",Air,Conveyances,Air,384
2022,Remaining,JAN,Southern Border,SAN DIEGO,CA,"ANDRADE, CA (2502)",Land,Travelers,Passenger Vehicles,72660
2023,Remaining,MAY,Northern Border,SEATTLE,MT,"TURNER, MT (3306)",Land,Conveyances,Passenger Vehicles,342
2024,Remaining,FEB,Coastal/Interior,SAN JUAN,PR,"PONCE, PR (4908)",Air,Conveyances,Air,1
2023,Remaining,JAN,Coastal/Interior,LOS ANGELES,CA,PALM SPRINGS USER FEE (2781),Air,Travelers,Air,526
2024,FYTD,OCT,Northern Border,SEATTLE,WA,"OROVILLE, WA (3019)",Land,Travelers,Pedestrians,788
2024,FYTD,OCT,Coastal/Interior,NEW ORLEANS,AL,"MOBILE, AL (1901)",Air,Conveyances,Air,6
2024,Remaining,APR,Northern Border,SEATTLE,ND,"FORTUNA, ND (3417)",Land,Conveyances,Passenger Vehicles,583
2024,Remaining,SEP,Northern Border,SEATTLE,ND,"ST JOHN, ND (3405)",Land,Travelers,Passenger Vehicles,1145
2022,Remaining,MAY,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Air,Conveyances,Air,19
2023,Remaining,MAY,Coastal/Interior,SAN FRANCISCO,MP,SAIPAN (3211),Air,Travelers,Air,19617
2022,FYTD,OCT,Northern Border,SEATTLE,ND,"MAIDA, ND (3416)",Land,Conveyances,Passenger Vehicles,72
2024,FYTD,OCT,Northern Border,SEATTLE,MN,"PINECREEK, MN (3425)",Land,Travelers,Passenger Vehicles,290
2022,FYTD,OCT,Southern Border,EL PASO,NM,SANTA TERESA (2408),Air,Travelers,Air,203
2024,Remaining,AUG,Southern Border,LAREDO,TX,"RIO GRANDE CITY, TX (2307)",Land,Conveyances,Trucks,3054
2025 (FYTD),FYTD,NOV,Coastal/Interior,NEW YORK,NJ,"MORRISTOWN AIRPORT, NJ (4681)",Air,Travelers,Air,203
2024,Remaining,SEP,Northern Border,PORTLAND,CO,ARAPAHOE CNTY PUBL AIRPT (3384),Air,Conveyances,Air,40
2024,Remaining,MAY,Northern Border,DETROIT,MI,WILLOW RUN AIRPORT (3882),Air,Travelers,Air,145
2023,Remaining,AUG,Coastal/Interior,HOUSTON,TX,MIDLAND INTER AIRPORT (5582),Air,Travelers,Air,158
2024,Remaining,SEP,Coastal/Interior,HOUSTON,TX,HOUSTON INTERCONTL (5309),Air,Travelers,Air,431178
2023,Remaining,JAN,Northern Border,SEATTLE,ND,"WESTHOPE, ND (3419)",Land,Conveyances,Passenger Vehicles,272
2025 (FYTD),FYTD,OCT,Northern Border,SEATTLE,MN,"PINECREEK, MN (3425)",Land,Travelers,Pedestrians,2
2022,Remaining,JUL,Northern Border,BOSTON,ME,"FORT KENT, ME (0110)",Land,Travelers,Pedestrians,48
2022,Remaining,JUL,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Land,Conveyances,Passenger Vehicles,238135
2023,Remaining,AUG,Preclearance,PRECLEARANCE,DC,USCBP MONTREAL PRECLEAR (7925),Air,Conveyances,Air,3038
2024,FYTD,NOV,Northern Border,BUFFALO,NY,CHAMPLAIN-ROUSES POINT (0712),Land,Travelers,Trucks,24022
2023,Remaining,MAY,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Land,Travelers,Passenger Vehicles,23434
2023,Remaining,JAN,Coastal/Interior,CHICAGO,KY,"LOUISVILLE, KY (4115)",Air,Conveyances,Air,340
2023,Remaining,MAR,Northern Border,SEATTLE,MT,"MORGAN, MT (3319)",Land,Travelers,Pedestrians,5
2022,Remaining,SEP,Northern Border,SEATTLE,WA,"OROVILLE, WA (3019)",Land,Travelers,Passenger Vehicles,18355
2024,Remaining,AUG,Coastal/Interior,BALTIMORE,PA,"PITTSBURGH, PA (1104)",Air,Conveyances,Air,110
2024,Remaining,JAN,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Land,Travelers,Passenger Vehicles,486102
2022,FYTD,NOV,Coastal/Interior,CHICAGO,OH,"CINCINNATI, OH (4102)",Air,Travelers,Air,1386
2023,Remaining,JUL,Coastal/Interior,CHICAGO,PA,"ERIE, PA (4106)",Air,Travelers,Air,250
2022,Remaining,JAN,Southern Border,LAREDO,TX,"BROWNSVILLE, TX (2301)",Air,Travelers,Air,994
2025 (FYTD),FYTD,NOV,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Air,Conveyances,Air,17
2024,Remaining,JAN,Coastal/Interior,TAMPA,FL,FORT MYERS (1822),Air,Travelers,Air,2430
2022,Remaining,JUN,Coastal/Interior,HOUSTON,TX,ADDISON AIRPORT (5584),Air,Travelers,Air,520
2024,Remaining,JUL,Coastal/Interior,TAMPA,FL,"TAMPA, FL (1801)",Air,Conveyances,Air,537
2023,FYTD,OCT,Coastal/Interior,MIAMI,FL,MIAMI INTL AIRPORT (5206),Air,Conveyances,Air,8194
2023,Remaining,AUG,Northern Border,BUFFALO,NY,BUFFALO-NIAGARA FALLS NY (0901),Air,Conveyances,Air,135
2022,Remaining,SEP,Coastal/Interior,CHICAGO,KS,"WICHITA, KS (4504)",Air,Conveyances,Air,16
2023,Remaining,JUL,Northern Border,SEATTLE,MT,"WILLOW CREEK, MT (3325)",Land,Conveyances,Passenger Vehicles,493
2023,Remaining,JUN,Southern Border,SAN DIEGO,CA,CALEXICO-EAST (2507),Land,Travelers,Trucks,40129
2023,Remaining,AUG,Northern Border,PORTLAND,OR,"PORTLAND, OR (2904)",Air,Travelers,Air,31137
2024,Remaining,JUL,Southern Border,LAREDO,TX,"BROWNSVILLE, TX (2301)",Air,Conveyances,Air,464
2025 (FYTD),FYTD,OCT,Southern Border,LAREDO,TX,"LAREDO, TX (2304)",Land,Conveyances,Passenger Vehicles,439294
2023,FYTD,DEC,Coastal/Interior,LOS ANGELES,CA,SO. CALIF. LOGISTICS APT (2783),Air,Travelers,Air,28
2022,Remaining,JAN,Coastal/Interior,HOUSTON,TX,"SAN ANTONIO, TX (5507)",Air,Conveyances,Air,252
2024,FYTD,DEC,Southern Border,LAREDO,TX,"HIDALGO,TX (2305)",Land,Travelers,Pedestrians,241946
2024,Remaining,MAR,Northern Border,BOSTON,MA,"LOGAN AIRPORT, MA (0417)",Air,Conveyances,Air,1631
2023,Remaining,FEB,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Air,Travelers,Air,195
2024,Remaining,AUG,Northern Border,BOSTON,VT,"BEECHER FALLS, VT (0206)",Land,Travelers,Trucks,666
2023,FYTD,NOV,Coastal/Interior,HOUSTON,TX,"AUSTIN, TX (5506)",Air,Travelers,Air,37052
2022,FYTD,NOV,Preclearance,PRECLEARANCE,DC,USCBP TORONTO PRECLEAR (7926),Air,Conveyances,Air,3437
2024,Remaining,AUG,Northern Border,SEATTLE,WA,"PORT ANGELES, WA (3007)",Air,Travelers,Air,69
2023,Remaining,FEB,Northern Border,SEATTLE,ND,"NECHE, ND (3404)",Land,Travelers,Trucks,683
2022,Remaining,MAY,Northern Border,BOSTON,VT,"BEECHER FALLS, VT (0206)",Land,Travelers,Trucks,737
2022,FYTD,OCT,Coastal/Interior,HOUSTON,TX,DALLAS LOVE FIELD (DAL) (5588),Air,Conveyances,Air,117
2024,FYTD,OCT,Coastal/Interior,MIAMI,FL,WITHAM FIELD GAF (SUA) (5283),Air,Conveyances,Air,56
2023,Remaining,MAY,Coastal/Interior,NEW YORK,NJ,"MORRISTOWN AIRPORT, NJ (4681)",Air,Conveyances,Air,64
2022,Remaining,JUL,Coastal/Interior,TAMPA,FL,FORT MYERS (1822),Air,Conveyances,Air,42
2024,Remaining,MAR,Northern Border,SEATTLE,WA,"FRONTIER, WA (3020)",Land,Conveyances,Trucks,2457
2024,Remaining,AUG,Coastal/Interior,LOS ANGELES,CA,ONTARIO INTL AIRPORT (2721),Air,Travelers,Air,19294
2022,Remaining,MAY,Northern Border,SEATTLE,WA,"PORT ANGELES, WA (3007)",Air,Travelers,Air,20
2025 (FYTD),FYTD,OCT,Northern Border,SEATTLE,WA,"OROVILLE, WA (3019)",Land,Travelers,Passenger Vehicles,22600
